AgeGroup,State,Income,NeedsPct,WantsPct,SavingsPct,DebtLoad,PersonaLabel
29-39,Karnataka,262383,35,51,14,12,champaklal
22-28,Bihar,298000,14,8,78,0,popatlal
18-22,Delhi,249867,50,13,37,13,madhavi
40-60,UP,169282,41,49,10,1,mehta
29-39,Rajasthan,98287,31,35,34,2,anjali
22-28,UP,136337,43,28,29,13,roshan
60+,Bihar,243142,44,52,4,53,jethalal
22-28,Kerala,81450,40,7,53,0,bhide
40-60,Goa,150212,48,18,34,12,madhavi
40-60,Bihar,129716,33,39,28,2,roshan
18-22,Bihar,117336,38,24,38,6,daya
29-39,Bihar,174060,37,10,53,0,bhide
40-60,Delhi,173142,41,34,25,3,mehta
60+,Maharashtra,254187,36,41,23,13,madhavi
18-22,Maharashtra,115160,40,9,51,0,bhide
60+,Bihar,252318,18,1,81,0,popatlal
40-60,Bihar,209344,20,-8,88,0,popatlal
18-22,Bihar,55503,21,60,19,10,babita
29-39,Maharashtra,42628,38,45,17,7,roshan
40-60,Kerala,186037,74,25,1,8,abdul
40-60,Bihar,266374,31,34,35,6,sodhi
18-22,Maharashtra,72513,30,57,13,12,roshan
40-60,Maharashtra,121892,44,22,34,14,roshan
18-22,Kerala,170924,16,4,80,0,popatlal
60+,Goa,163233,33,9,58,0,bhide
60+,Bihar,77602,42,20,38,12,mehta
18-22,UP,267438,49,24,27,7,bagha
60+,Goa,66682,44,31,25,8,madhavi
22-28,Kerala,119984,40,57,3,43,jethalal
40-60,Rajasthan,229673,43,30,27,12,mehta
18-22,Rajasthan,108200,32,56,12,13,anjali
29-39,Kerala,156418,31,52,17,12,iyer
22-28,Delhi,146555,45,38,17,13,komal
60+,Rajasthan,204429,36,26,38,4,daya
18-22,Delhi,105063,29,70,1,23,babita
29-39,Delhi,90672,43,24,33,9,champaklal
22-28,UP,242730,32,44,24,11,champaklal
22-28,Goa,182878,39,12,49,0,bhide
40-60,Delhi,117583,48,26,26,11,tapu
22-28,Delhi,291762,43,34,23,14,roshan
40-60,Maharashtra,251936,33,13,54,0,bhide
18-22,Karnataka,138622,47,18,35,11,roshan
22-28,Karnataka,185252,47,19,34,9,tapu
60+,Maharashtra,113733,39,29,32,6,tapu
29-39,UP,285145,30,16,54,0,bhide
60+,Rajasthan,37230,35,32,33,15,daya
18-22,Karnataka,161460,79,20,1,12,abdul
29-39,Rajasthan,290310,60,40,0,60,jethalal
60+,Bihar,107848,31,53,16,10,champaklal
18-22,Bihar,85603,24,-2,78,0,popatlal
29-39,Kerala,70675,36,40,24,4,madhavi
18-22,Bihar,231594,37,43,20,15,iyer
22-28,Bihar,237716,48,27,25,3,roshan
60+,Rajasthan,31622,46,33,21,15,sodhi
40-60,UP,149147,47,18,35,0,iyer
60+,Kerala,296691,36,28,36,8,iyer
29-39,Kerala,166325,34,59,7,59,jethalal
29-39,Kerala,147594,25,58,17,24,babita
22-28,Delhi,33231,34,45,21,0,champaklal
18-22,UP,233133,39,39,22,14,daya
40-60,Delhi,249674,48,13,39,9,mehta
18-22,Maharashtra,84196,38,23,39,1,sodhi
18-22,Delhi,177509,23,-4,81,0,popatlal
18-22,Delhi,170880,34,37,29,0,daya
60+,Kerala,271085,11,1,88,0,popatlal
60+,Rajasthan,169882,33,29,38,11,roshan
29-39,Goa,197905,29,58,13,23,babita
60+,Kerala,257516,24,53,23,15,babita
18-22,Delhi,286055,28,56,16,24,babita
22-28,Delhi,253676,30,38,32,15,sodhi
29-39,Goa,217206,41,20,39,14,bagha
29-39,Goa,30489,43,20,37,1,mehta
29-39,Maharashtra,50944,42,60,-2,50,jethalal
22-28,Karnataka,68358,42,25,33,11,madhavi
18-22,Kerala,170959,40,6,54,0,bhide
29-39,Goa,78798,32,35,33,2,daya
18-22,Delhi,207652,33,38,29,1,mehta
22-28,Kerala,181527,36,51,13,12,anjali
29-39,UP,85719,60,42,-2,76,jethalal
60+,Rajasthan,85424,37,48,15,6,tapu
60+,Karnataka,178151,81,13,6,10,abdul
18-22,Rajasthan,264108,30,14,56,0,bhide
22-28,Karnataka,292304,40,25,35,3,roshan
29-39,Kerala,254009,21,55,24,13,babita
18-22,Goa,64159,29,52,19,15,babita
40-60,Delhi,163707,37,3,60,0,bhide
29-39,Karnataka,105653,45,49,6,71,jethalal
22-28,Bihar,115281,39,30,31,4,bagha
40-60,Rajasthan,109121,46,41,13,10,anjali
22-28,Bihar,126548,46,26,28,5,bagha
29-39,Karnataka,260303,43,27,30,0,komal
18-22,Kerala,35313,47,16,37,5,daya
22-28,Kerala,30039,32,28,40,13,champaklal
22-28,UP,213963,50,24,26,11,daya
60+,UP,230408,36,48,16,12,tapu
60+,Karnataka,139484,42,28,30,6,champaklal
29-39,Bihar,262281,24,-4,80,0,popatlal
29-39,Karnataka,269447,40,47,13,15,bagha
40-60,Delhi,150001,31,42,27,5,tapu
22-28,Bihar,181150,45,43,12,13,komal
40-60,Goa,273353,48,34,18,13,champaklal
18-22,Maharashtra,46999,44,26,30,11,komal
60+,Maharashtra,275205,38,15,47,0,bhide
18-22,Bihar,232363,34,16,50,0,bhide
29-39,Maharashtra,288116,43,35,22,4,champaklal
18-22,Rajasthan,140642,37,43,20,8,anjali
40-60,Kerala,296742,42,45,13,3,roshan
29-39,Bihar,251131,37,43,20,6,bagha
29-39,Karnataka,69207,35,37,28,5,roshan
18-22,Rajasthan,261473,52,48,0,60,jethalal
22-28,Bihar,166823,25,55,20,23,babita
40-60,UP,53664,24,-13,89,0,popatlal
29-39,Rajasthan,65811,48,18,34,8,sodhi
18-22,Maharashtra,39909,49,40,11,6,daya
60+,Bihar,183177,31,48,21,10,iyer
29-39,Goa,254096,42,24,34,1,anjali
60+,Delhi,57027,31,30,39,0,champaklal
22-28,Rajasthan,136805,47,39,14,6,sodhi
40-60,Maharashtra,150762,31,11,58,0,bhide
40-60,Karnataka,99163,30,58,12,0,madhavi
22-28,Karnataka,220645,37,41,22,2,anjali
40-60,UP,102844,46,19,35,2,tapu
18-22,Bihar,213637,49,49,2,41,jethalal
40-60,Kerala,105369,25,57,18,30,babita
60+,Karnataka,80371,31,44,25,7,iyer
40-60,Karnataka,151616,30,34,36,5,bagha
60+,UP,62189,49,37,14,3,daya
22-28,Maharashtra,275384,30,40,30,10,roshan
60+,Karnataka,241595,34,48,18,0,mehta
22-28,Rajasthan,77400,50,47,3,41,jethalal
22-28,Bihar,118246,38,23,39,13,madhavi
22-28,Karnataka,42047,33,52,15,13,roshan
60+,UP,268282,40,10,50,0,bhide
22-28,Maharashtra,148356,44,16,40,15,iyer
18-22,Rajasthan,239912,43,22,35,15,anjali
18-22,Karnataka,242947,50,37,13,8,anjali
40-60,Bihar,53613,84,7,9,14,abdul
29-39,Bihar,89163,48,16,36,1,madhavi
22-28,Maharashtra,166760,24,-9,85,0,popatlal
22-28,Kerala,283571,35,42,23,2,sodhi
60+,Karnataka,32138,32,32,36,10,roshan
22-28,Maharashtra,237173,39,33,28,9,roshan
29-39,UP,274336,30,40,30,2,madhavi
22-28,Delhi,132303,35,32,33,11,madhavi
60+,Goa,150223,37,31,32,6,madhavi
40-60,Kerala,283550,48,20,32,11,champaklal
40-60,Delhi,186992,25,60,15,28,babita
60+,Kerala,38739,74,16,10,9,abdul
22-28,Delhi,290704,44,18,38,10,sodhi
18-22,Goa,241486,46,28,26,5,komal
60+,UP,48409,49,14,37,0,mehta
60+,Goa,65097,31,56,13,10,mehta
22-28,Bihar,143033,30,33,37,9,anjali
60+,Kerala,151009,49,40,11,2,mehta
60+,Bihar,88269,47,41,12,2,anjali
40-60,Maharashtra,99239,40,29,31,5,tapu
40-60,Kerala,87696,34,56,10,3,mehta
22-28,Karnataka,149804,78,21,1,16,abdul
18-22,Maharashtra,218816,81,10,9,3,abdul
40-60,UP,191257,30,56,14,5,daya
60+,Maharashtra,218803,37,51,12,9,daya
29-39,Delhi,265703,49,34,17,8,bagha
22-28,Bihar,40420,37,23,40,13,tapu
60+,Maharashtra,57849,38,46,16,8,iyer
22-28,Delhi,265999,79,20,1,19,abdul
60+,Bihar,102430,35,27,38,0,mehta
29-39,Bihar,76250,42,48,10,12,mehta
60+,Delhi,285145,86,12,2,17,abdul
29-39,Karnataka,283706,33,34,33,0,iyer
18-22,Rajasthan,175570,49,24,27,5,bagha
40-60,Maharashtra,262652,38,30,32,14,anjali
18-22,Karnataka,30533,43,40,17,10,champaklal
22-28,Maharashtra,51306,42,25,33,11,roshan
29-39,Delhi,220860,40,22,38,2,iyer
40-60,Delhi,296646,47,30,23,3,iyer
18-22,Delhi,111888,25,50,25,27,babita
18-22,Kerala,69419,31,33,36,5,champaklal
18-22,Goa,242599,46,22,32,8,tapu
22-28,Maharashtra,181307,31,45,24,1,madhavi
40-60,Rajasthan,132853,36,47,17,3,sodhi
29-39,UP,286818,41,41,18,13,madhavi
40-60,Rajasthan,92900,32,53,15,0,mehta
40-60,Bihar,230318,33,39,28,7,roshan
60+,Kerala,194993,34,56,10,3,daya
18-22,Goa,145768,34,37,29,10,tapu
29-39,Karnataka,56088,25,5,70,0,popatlal
40-60,Maharashtra,103936,34,33,33,1,komal
40-60,Goa,276751,22,-4,82,0,popatlal
29-39,UP,247454,85,14,1,19,abdul
18-22,Karnataka,253973,47,29,24,9,roshan
29-39,Maharashtra,51356,43,19,38,12,champaklal
22-28,Maharashtra,248635,48,15,37,14,roshan
22-28,Delhi,183658,30,25,45,0,bhide
40-60,Bihar,49974,83,15,2,12,abdul
60+,UP,74261,38,56,6,57,jethalal
18-22,Maharashtra,236213,41,38,21,12,komal
60+,Karnataka,243021,25,56,19,14,babita
18-22,Maharashtra,34626,38,31,31,11,mehta
60+,Goa,272437,30,18,52,0,bhide
60+,UP,215364,59,46,-5,71,jethalal
29-39,Kerala,74180,32,41,27,9,daya
18-22,Bihar,255399,38,13,49,0,bhide
29-39,Delhi,150448,36,42,22,13,sodhi
60+,Delhi,215533,13,15,72,0,popatlal
60+,Delhi,84421,36,27,37,10,mehta
60+,Goa,119759,46,40,14,9,iyer
29-39,Delhi,277633,30,47,23,15,daya
60+,Goa,287300,35,43,22,4,mehta
60+,Goa,283229,21,3,76,0,popatlal
18-22,UP,126822,49,24,27,15,anjali
40-60,Karnataka,173743,35,29,36,11,champaklal
18-22,Delhi,286413,44,25,31,7,madhavi
22-28,UP,79161,41,64,-5,45,jethalal
29-39,Karnataka,164259,33,51,16,6,roshan
60+,Maharashtra,183558,23,52,25,11,babita
29-39,Goa,253836,37,44,19,3,mehta
22-28,Delhi,151278,32,52,16,6,champaklal
40-60,Goa,261764,38,46,16,8,mehta
60+,Karnataka,254821,37,49,14,6,tapu
29-39,Bihar,124008,36,46,18,2,komal
18-22,Bihar,94574,43,62,-5,74,jethalal
18-22,Kerala,64047,35,12,53,0,bhide
60+,Kerala,166620,80,16,4,3,abdul
22-28,Bihar,56203,50,24,26,7,tapu
60+,UP,152756,40,30,30,7,anjali
40-60,Goa,287105,37,35,28,0,madhavi
22-28,Maharashtra,49394,20,5,75,0,popatlal
22-28,Maharashtra,253667,36,14,50,0,bhide
60+,UP,59289,44,46,10,6,roshan
29-39,Bihar,42590,32,17,51,0,bhide
18-22,UP,292135,48,22,30,7,komal
40-60,Karnataka,48101,24,50,26,30,babita
18-22,UP,79628,40,35,25,12,madhavi
40-60,Karnataka,202018,31,41,28,2,komal
40-60,Maharashtra,230452,48,20,32,10,mehta
22-28,Bihar,88395,41,45,14,5,sodhi
60+,Bihar,101949,33,44,23,10,mehta
18-22,Rajasthan,255436,33,38,29,14,madhavi
22-28,UP,279479,34,50,16,13,komal
60+,UP,147393,31,46,23,15,sodhi
40-60,Kerala,40220,36,45,19,7,komal
60+,Bihar,176023,48,24,28,12,roshan
22-28,Goa,63047,41,24,35,1,anjali
60+,Maharashtra,271935,39,32,29,1,roshan
22-28,Karnataka,137015,20,51,29,25,babita
29-39,Karnataka,94219,48,19,33,10,champaklal
60+,Goa,241143,36,40,24,14,bagha
22-28,Delhi,70118,36,48,16,7,anjali
29-39,Rajasthan,291400,40,45,15,2,champaklal
18-22,Rajasthan,33141,32,28,40,4,sodhi
22-28,Kerala,62993,33,10,57,0,bhide
29-39,Karnataka,198475,38,24,38,0,iyer
60+,Bihar,220845,30,31,39,14,roshan
60+,Rajasthan,107935,31,36,33,9,mehta
18-22,UP,159703,44,40,16,0,madhavi
18-22,Maharashtra,261429,46,36,18,15,mehta
29-39,Rajasthan,179046,44,23,33,1,iyer
18-22,Delhi,246377,32,52,16,13,mehta
40-60,Delhi,124351,37,38,25,15,komal
18-22,Maharashtra,265601,20,56,24,23,babita
18-22,Karnataka,89492,45,55,0,59,jethalal
29-39,Goa,155595,22,53,25,23,babita
29-39,Maharashtra,183124,38,33,29,8,champaklal
29-39,Karnataka,175846,31,54,15,13,anjali
18-22,Goa,298075,34,43,23,8,mehta
22-28,Delhi,143127,44,52,4,76,jethalal
60+,Maharashtra,203531,32,44,24,6,champaklal
60+,Goa,54701,44,17,39,5,tapu
60+,Goa,205157,27,53,20,17,babita
18-22,Bihar,39563,32,56,12,15,komal
60+,Rajasthan,230294,25,69,6,12,babita
40-60,Karnataka,291731,31,49,20,14,anjali
60+,Delhi,249706,23,0,77,0,popatlal
40-60,Bihar,199164,40,39,21,14,bagha
29-39,Karnataka,234909,33,50,17,12,tapu
40-60,Kerala,276793,43,39,18,0,roshan
60+,Bihar,115089,24,54,22,14,babita
18-22,Rajasthan,155981,41,38,21,11,iyer
60+,UP,117598,30,37,33,10,sodhi
40-60,Karnataka,207539,44,25,31,6,anjali
22-28,Bihar,278535,49,30,21,11,komal
40-60,Bihar,225086,25,4,71,0,popatlal
29-39,Karnataka,263805,44,45,11,7,madhavi
40-60,Goa,234507,32,30,38,14,daya
40-60,Karnataka,61286,31,46,23,2,mehta
18-22,Kerala,166026,70,25,5,14,abdul
29-39,Delhi,240281,33,54,13,14,champaklal
18-22,UP,181500,39,50,11,4,iyer
60+,Maharashtra,100324,45,43,12,2,mehta
40-60,Bihar,118782,25,68,7,30,babita
18-22,Maharashtra,122717,49,22,29,10,champaklal
18-22,Rajasthan,53926,50,15,35,5,roshan
22-28,Delhi,63639,52,47,1,46,jethalal
22-28,Maharashtra,61504,30,59,11,9,sodhi
60+,Goa,253523,35,40,25,13,madhavi
18-22,Goa,123477,45,60,-5,74,jethalal
29-39,Goa,135122,43,23,34,14,madhavi
18-22,UP,272850,41,28,31,1,mehta
18-22,Bihar,230391,49,18,33,9,iyer
29-39,Goa,61275,32,37,31,1,daya
40-60,Maharashtra,48345,38,26,36,13,roshan
60+,Karnataka,257470,15,-2,87,0,popatlal
40-60,Delhi,182324,50,31,19,15,daya
40-60,Bihar,54149,42,47,11,2,sodhi
22-28,Karnataka,168564,49,31,20,5,champaklal
29-39,Bihar,229382,45,25,30,14,roshan
40-60,Karnataka,162841,40,57,3,73,jethalal
40-60,Kerala,278761,41,28,31,15,iyer
60+,Kerala,68155,33,47,20,0,champaklal
60+,Karnataka,56367,37,49,14,13,champaklal
60+,Delhi,203585,41,31,28,2,daya
60+,Kerala,276548,35,52,13,3,mehta
40-60,Kerala,161957,30,55,15,8,iyer
60+,Maharashtra,37636,24,6,70,0,popatlal
40-60,Bihar,103222,32,42,26,13,bagha
60+,Maharashtra,246648,36,27,37,8,madhavi
40-60,Maharashtra,179227,28,58,14,25,babita
22-28,Karnataka,120914,57,41,2,58,jethalal
60+,Goa,163579,34,36,30,8,bagha
18-22,Maharashtra,176822,34,27,39,13,bagha
40-60,Karnataka,195330,16,-5,89,0,popatlal
22-28,UP,243068,39,40,21,7,daya
29-39,Goa,110356,47,18,35,11,iyer
29-39,Kerala,78526,38,9,53,0,bhide
60+,Kerala,268687,38,32,30,4,tapu
60+,Rajasthan,89562,30,53,17,10,iyer
60+,Rajasthan,271606,48,15,37,3,champaklal
22-28,Rajasthan,157432,50,28,22,14,tapu
40-60,Maharashtra,275948,48,27,25,13,madhavi
22-28,Bihar,235731,33,53,14,7,champaklal
22-28,Bihar,234608,37,12,51,0,bhide
40-60,Delhi,275934,41,33,26,3,sodhi
18-22,Maharashtra,204136,10,2,88,0,popatlal
29-39,Bihar,91573,50,13,37,13,anjali
29-39,Goa,203881,36,4,60,0,bhide
18-22,Maharashtra,229113,37,29,34,13,mehta
22-28,Bihar,219280,49,13,38,5,champaklal
29-39,Rajasthan,200837,82,15,3,14,abdul
29-39,Rajasthan,181122,49,30,21,11,sodhi
22-28,Bihar,209935,40,41,19,11,daya
29-39,Goa,246475,36,44,20,5,tapu
29-39,Delhi,53476,39,23,38,5,daya
18-22,Karnataka,139886,35,35,30,14,champaklal
40-60,UP,295931,39,24,37,7,komal
40-60,Delhi,251241,79,16,5,18,abdul
22-28,Rajasthan,150781,34,31,35,11,madhavi
29-39,Karnataka,170363,43,44,13,2,iyer
18-22,Rajasthan,53752,34,30,36,13,mehta
18-22,Kerala,155357,46,40,14,6,daya
29-39,Kerala,124310,23,68,9,21,babita
60+,Kerala,154005,39,41,20,3,daya
40-60,Delhi,145176,37,51,12,3,roshan
60+,Delhi,62057,37,5,58,0,bhide
60+,Kerala,52318,23,-11,88,0,popatlal
18-22,Karnataka,220008,41,24,35,13,bagha
60+,Maharashtra,156555,35,52,13,15,champaklal
60+,Karnataka,225253,39,4,57,0,bhide
22-28,Karnataka,227018,50,13,37,15,mehta
18-22,Karnataka,120754,45,32,23,11,mehta
60+,Kerala,217113,18,9,73,0,popatlal
29-39,Karnataka,122770,39,25,36,2,bagha
18-22,Kerala,166755,31,58,11,13,mehta
18-22,Bihar,129310,40,14,46,0,bhide
40-60,Bihar,285741,45,40,15,1,sodhi
60+,UP,79334,22,-8,86,0,popatlal
60+,UP,109901,44,40,16,5,roshan
18-22,Kerala,158292,43,33,24,7,bagha
60+,Karnataka,112824,86,14,0,14,abdul
29-39,UP,48565,31,33,36,3,daya
22-28,Rajasthan,183845,40,25,35,4,anjali
18-22,Karnataka,94641,34,55,11,8,madhavi
29-39,UP,33455,45,40,15,15,champaklal
60+,Delhi,121621,31,47,22,12,madhavi
18-22,Rajasthan,76755,32,36,32,5,roshan
18-22,Kerala,165773,47,17,36,3,daya
60+,Maharashtra,190159,39,40,21,0,mehta
29-39,Delhi,222479,47,40,13,13,komal
18-22,UP,72203,45,21,34,8,roshan
40-60,Rajasthan,83345,41,24,35,13,anjali
40-60,Maharashtra,111587,44,22,34,5,komal
60+,Karnataka,128892,37,33,30,4,komal
29-39,Delhi,74877,37,13,50,0,bhide
18-22,Kerala,194655,34,16,50,0,bhide
29-39,Goa,90676,26,68,6,24,babita
40-60,Rajasthan,153283,21,58,21,29,babita
60+,Bihar,289076,33,51,16,8,daya
40-60,UP,192115,33,15,52,0,bhide
40-60,UP,124901,38,16,46,0,bhide
18-22,Maharashtra,223454,31,55,14,11,daya
40-60,Karnataka,263225,47,40,13,3,daya
40-60,Maharashtra,90057,48,34,18,8,bagha
40-60,Delhi,265757,35,47,18,0,iyer
40-60,Rajasthan,297631,36,41,23,8,champaklal
29-39,Maharashtra,100594,35,27,38,1,bagha
60+,Rajasthan,127805,47,40,13,8,champaklal
29-39,Karnataka,128188,20,0,80,0,popatlal
29-39,Delhi,257869,36,7,57,0,bhide
40-60,UP,120979,44,29,27,12,iyer
60+,Rajasthan,271453,33,32,35,12,roshan
60+,Delhi,245644,33,42,25,15,roshan
18-22,Bihar,184309,30,50,20,12,madhavi
40-60,UP,183258,24,-3,79,0,popatlal
18-22,Karnataka,130894,35,53,12,7,roshan
29-39,Kerala,112236,47,13,40,11,daya
60+,Delhi,171087,44,29,27,5,daya
29-39,UP,99680,50,24,26,14,anjali
18-22,Karnataka,292434,38,37,25,4,anjali
22-28,UP,117100,37,46,17,11,tapu
60+,UP,224789,78,12,10,7,abdul
18-22,Kerala,159015,28,51,21,10,babita
40-60,Maharashtra,273299,22,63,15,19,babita
22-28,Karnataka,244712,35,50,15,15,roshan
60+,UP,46419,43,42,15,9,mehta
22-28,UP,242884,46,15,39,12,mehta
29-39,Delhi,66648,27,68,5,21,babita
18-22,Maharashtra,34578,35,50,15,14,daya
22-28,Kerala,123797,32,48,20,11,mehta
22-28,Maharashtra,184374,50,28,22,4,iyer
40-60,Bihar,227406,39,32,29,5,bagha
60+,Delhi,276122,44,28,28,1,mehta
29-39,Kerala,267584,36,49,15,2,komal
29-39,Rajasthan,111668,37,51,12,11,anjali
22-28,Rajasthan,253874,39,27,34,2,roshan
60+,Kerala,297961,46,25,29,4,sodhi
18-22,Karnataka,80051,27,53,20,16,babita
29-39,Maharashtra,75317,33,36,31,2,mehta
